Date and Time Reported,Date nuforc,Time norc,City,City2,county norc,occupation,Summary
08/09/2025 12:00,9/8/2025,12:00,Cliffsend,Cliffsend,#N/A,,A huge bright orb shape speeding so fast over the top of my house accross the ocean. Dissappeard in less than a second.
08/08/2025 10:28,8/8/2025,10:28,Thorpe End,Thorpe End,#N/A,,Changing / rotating orb in the sky traveling from SW to NE
08/04/2025 02:30,4/8/2025,02:30,Winkleigh,Winkleigh,Devon,,Flickering oval light with smaller more orange lights leaving and returning to it
08/01/2025 20:28,1/8/2025,20:28,Gillingham,Gillingham,Kent,,Stationary craft in the air and after 30 seconds it began to move at very high speed before disappearing.
07/31/2025 22:40,31/7/2025,22:40,Ditton,Ditton,Kent,,Large star like object flashed across the sky.
07/30/2025 22:10,30/7/2025,22:10,Chipstead,Chipstead,#N/A,,The object slowly came into sight. From a thin line into a bright slight stationary. Then slowly disappeared into the distance.
07/23/2025 04:35,23/7/2025,04:35,Plymouth,Plymouth,Devon,,Multiple orbs moving in smooth sequence under cloud cover. One changed direction perpendicularly and then all disappeared in cloud
07/21/2025 22:58,21/7/2025,22:58,Birmingham,Birmingham,West Midlands,,Square reflecting object above passenger airline
07/18/2025 03:00,18/7/2025,03:00,Newport,Newport,South Glamorgan,,Extremely bright ball of green light ontracting and expanding about the size of a football making little or no sound.
07/17/2025 21:54,17/7/2025,21:54,Torquay,Torquay,Devon,,"Orange orbs moving about 120 mph at 45 degrees eastwards from Torquay. Video and pictures taken, geo-located using static cargo ship."
07/13/2025 01:25,13/7/2025,01:25,Pangbourne,Pangbourne,#N/A,,"Bright object, erratic movement. Initially mistaken for a plane, until it stopped and abruptly changed direction. Silent."
07/11/2025 22:11,11/7/2025,22:11,Loughton,Loughton,Essex,,Oval space craft seen from balcony
07/11/2025 00:19,11/7/2025,00:19,Lowestoft,Lowestoft,Suffolk,,"On July 11, 2025, at 00:11 AM BST, I observed a bright, star-like object at 52.5051° N, 1.7354° E, 1,000 meters above 13 Clover Way, Lo"
07/09/2025 22:22,9/7/2025,22:22,Liverpool,Liverpool,Merseyside,,Faint ball of light zipping about the sky
07/09/2025 01:15,9/7/2025,01:15,Gosport,Gosport,Hampshire,,I saw two star like objects move fast towards each other then circle round each other and fly away in the opposite direction from one a
07/05/2025 01:52,5/7/2025,01:52,Chatham,Chatham,Kent,,"Object was in my line of sight as I turned, gliding along. I asked it to give me a sign. It shot a beam ahead of it, almost instantly."
07/04/2025 00:03,4/7/2025,00:03,Plymouth,Plymouth,Devon,,Multiple UAP moving erratically in a 'stone skipping' motion
07/02/2025 02:08,2/7/2025,02:08,Swindon,Swindon,Wiltshire,,2 round lights hovering above my flat im on 5 th floor it was 100ft above 500 ft away then tuned 180 degrees an slowly moved off
07/01/2025 02:00,1/7/2025,02:00,Glasgow,Glasgow,Lanarkshire,,"Pale yellow light, made a loop down and shot straight up"
06/29/2025 14:45,29/6/2025,14:45,Chigwell,Chigwell,Essex,,3 of us noticed strange circling object in the sky
06/27/2025 17:15,27/6/2025,17:15,Blofield,Blofield,#N/A,,Structured Bright white arrow shaped object photographed in the sky. Appeared to be quite low.
06/27/2025 15:15,27/6/2025,15:15,Thorpe End,Thorpe End,#N/A,,Sphere seen traveling across the sky at a high speed and altitude
06/24/2025 01:00,24/6/2025,01:00,Winchelsea,Winchelsea,#N/A,,An illuminated cloud appearing on a moonless clear night and moved against the wind with satellite-like bright lights within.
06/21/2025 23:30,21/6/2025,23:30,Selby,Selby,North Yorkshire,,On the Evening of the 21st of June I witnessed 10 strange white lights moving in all directions over a period of around 4 hours.
06/21/2025 03:57,21/6/2025,03:57,,,#N/A,,Black disc circle in centre was quite small
06/13/2025 00:00,13/6/2025,00:00,Westward Ho!,Westward Ho!,#N/A,,Looked like a beam of light but also a bit like a flying saurcer
06/11/2025 23:30,11/6/2025,23:30,Bexhill,Bexhill,East Sussex,,"About 30 fast, silent blue objects flew in sync across the sky in one minute—no lights, no sound, surreal, and deeply unsettling."
06/10/2025 23:30,10/6/2025,23:30,Matlock,Matlock,Derbyshire,,Looked out of my ensuite window onto the hillside opposite.. saw a strip of orange in the sky above..
06/08/2025 19:44,8/6/2025,19:44,Brighton and Hove,Brighton and Hove,#N/A,,A craft moving very fast then landed
06/08/2025 00:05,8/6/2025,00:05,London,London,Greater London,,I was smoking a cigarette on the balcony and saw this object moving faster than a plane and it was like bit splitting.
06/03/2025 23:58,3/6/2025,23:58,Taverham,Taverham,#N/A,,I was in the back garden when the ufo zoomed across the sky but faster than anything possible then changed direction slowed up then up
06/02/2025 12:08,2/6/2025,12:08,Malpas,Malpas,Cheshire,,Tear-shaped silver floating orb
05/29/2025 02:10,29/5/2025,02:10,Red Lodge,Red Lodge,#N/A,,A hexagon at top with circle bottom slowly moving in a circle scanning my house it had a big golden light keep covering it whole
05/25/2025 20:28,25/5/2025,20:28,,,#N/A,,"White lights - I thought it was a plane, then I realised it wasn't by the way it was moving in quick swooping motions up and down"
05/23/2025 23:56,23/5/2025,23:56,Alva,Alva,#N/A,,It was there with the window lights. If I was approximating the size 3 quarters of a football field.
05/22/2025 14:20,22/5/2025,14:20,Johnstown,Johnstown,#N/A,,3 white lights crossed over my field of vision. One of the lights seemed to move more independently than the other two.
05/19/2025 22:20,19/5/2025,22:20,Cardiff,Cardiff,Glamorgan,,It was night and I was at my grandma's house Inside and I saw 5 of them
05/17/2025 19:54,17/5/2025,19:54,Sandiacre,Sandiacre,#N/A,,"Quiet black egg shaped object flying towards us at a distance, then flying back to where it came from"
05/17/2025 00:00,17/5/2025,00:00,Chirk,Chirk,#N/A,,I have video footage of a bright white light moving around the sky in an un earthly way. I zoomed on my camera and it was a light blue
05/16/2025 14:00,16/5/2025,14:00,Waterlooville,Waterlooville,Hampshire,,Saw 3 of them in formation. 1 in front 2 either side triangle. They looked stationary.white in colour
05/16/2025 11:10,16/5/2025,11:10,Cumbernauld,Cumbernauld,#N/A,,Large metallic sphere. It made a strange sort of humming noise.
05/15/2025 22:58,15/5/2025,22:58,,,#N/A,,"Looked up to see an orb, thought it was a star until it started moving away in an erratic movement."
05/15/2025 00:12,15/5/2025,00:12,Stoney Stanton,Stoney Stanton,#N/A,,Bright ball of light that became a craft of some sort with green and white lights on each side. Silent. Flying awkwardly
05/14/2025 14:19,14/5/2025,14:19,Buildwas,Buildwas,#N/A,,Changing vertical cigar-shaped object in the sky
05/14/2025 03:00,14/5/2025,03:00,Alderholt,Alderholt,#N/A,,I opened my curtains to see two bright white lights moving quickly across the sky and very low.
05/12/2025 23:40,12/5/2025,23:40,Blackpool,Blackpool,Lancashire,,Video evidence swirling orb zipping around. Then elongated craft like it liquidised/ morphed in to different shape.
05/12/2025 22:15,12/5/2025,22:15,Elton,Elton,#N/A,,Was out waiting to see full moon come up. Spotted this light moving across the sky and decided to make a phone video of it and others.
05/12/2025 14:45,12/5/2025,14:45,Aberystwyth,Aberystwyth,Dyfed,,"I could see a strange craft that was silver with a bright light so I couldn't determine the shape, it was hovering in the sky"
05/10/2025 23:45,10/5/2025,23:45,Portadown,Portadown,Northern Ireland,,"We watched starkink crossing the sky and then a DHL flight from Cincinatti flew over, we saw the light."
05/10/2025 01:56,10/5/2025,01:56,Barlby,Barlby,#N/A,,White fuzzy shape flying from the east
05/09/2025 22:51,9/5/2025,22:51,Upper Arncott,Upper Arncott,#N/A,,"Bright constant white light travelling SW-NE direction at 3-5,000ft, no noise, made sudden changes in direction"
05/04/2025 12:47,4/5/2025,12:47,Yatton,Yatton,#N/A,,Massive bright light appears in the sky for a brief period before disappearing without a trace
05/04/2025 02:22,4/5/2025,02:22,Polegate,Polegate,#N/A,,"I looked up and saw a very fast green dot, very high, no flashing, small, no noise, no trail, again it was extremely fast."
05/03/2025 15:25,3/5/2025,15:25,Southampton,Southampton,Hampshire,,"While watching 2 aircraft passing east to west and the other west to east, then saw a tic tac uap cross their contrails and disappear."
05/02/2025 23:14,2/5/2025,23:14,Kilmarnock,Kilmarnock,East Ayrshire,,"Saw 2 white dots (looked like moving stars), one after the other, following exactly the same trajectory then seemingly disappearing"
05/01/2025 21:10,1/5/2025,21:10,Great Malvern,Great Malvern,#N/A,,"We were upstairs in the bedroom, looking out of the window. Just after 9.00pm, in the dark sky in Malvern UK, I saw a UFO!"
04/30/2025 08:30,30/4/2025,08:30,Cannock,Cannock,Staffordshire,,Two UAP’s stationary in the sky and also moving by each other
04/29/2025 22:00,29/4/2025,22:00,Holywell,Holywell,Flintshire,,Silent white light that became brighter then disappeared
04/29/2025 16:58,29/4/2025,16:58,Failsworth,Failsworth,#N/A,,2 X small balls white and silver
04/29/2025 03:00,29/4/2025,03:00,Coombe Bissett,Coombe Bissett,#N/A,,Sighting of clock type lights in sky
04/28/2025 13:21,28/4/2025,13:21,London,London,Greater London,,Objects seen above Regent's Park in London.
04/27/2025 22:40,27/4/2025,22:40,Carcroft,Carcroft,#N/A,,Black triangle low no noise 4 lights
04/25/2025 23:08,25/4/2025,23:08,Ashby-de-la-Zouch,Ashby-de-la-Zouch,#N/A,,"Thought it was star, until it moved and got closer and closer towards me and was moving in erratic motion."
04/21/2025 23:26,21/4/2025,23:26,Gloucester,Gloucester,Gloucestershire,,The lights. In shape of triangle
04/21/2025 21:00,21/4/2025,21:00,South Nutfield,South Nutfield,#N/A,,"Oval-shaped UAP with tail seen over M23 moving east to west at very slow speed; multiple red flashing lights, no rotors or engine noise"
04/19/2025 21:04,19/4/2025,21:04,Lowestoft,Lowestoft,Suffolk,,Green dots not moving or moving really fast and abnormal swishing sounds and rumbles
04/15/2025 17:00,15/4/2025,17:00,Bridgnorth,Bridgnorth,Salop,,"Silent, slow-moving craft under 100 yards away—beautifully engineered, no sound at all. Too advanced to ignore. I had to report it."
04/13/2025 22:40,13/4/2025,22:40,Duns,Duns,Borders,,"Small, white object moved toward the Moon, stopped, reversed for 45s, then returned toward Moon. No sound, no satellite found."
04/12/2025 17:11,12/4/2025,17:11,Stratford-upon-Avon,Stratford-upon-Avon,Warwickshire,,I don't know what it was.
04/11/2025 18:00,11/4/2025,18:00,Wolverhampton,Wolverhampton,West Midlands,,Strange object in the sky over wolverhampton
04/10/2025 21:00,10/4/2025,21:00,Norwich,Norwich,Norfolk,,Two orbs were flying silently from south to north.
04/10/2025 15:45,10/4/2025,15:45,Blackridge,Blackridge,West Lothian,,Footage was captured by a drone in Central Scotland on the 10th of April 2025.It appears to show 2 objects travelling at high speed pa
04/08/2025 22:30,8/4/2025,22:30,,,#N/A,,Green light appeared over head
04/08/2025 22:15,8/4/2025,22:15,Plymouth,Plymouth,Devon,,Green light appeared over head
04/08/2025 03:38,8/4/2025,03:38,Stoke-on-Trent,Stoke-on-Trent,Staffordshire,,Triangle shaped object with 7 lights at the front
04/07/2025 17:39,7/4/2025,17:39,,,#N/A,,"Hard to describe.. moved very slowly and changed direction 4 times, multiple passenger airliners flew in same direction"
04/07/2025 16:20,7/4/2025,16:20,Bristol,Bristol,Somerset,,I saw a White ball/disc at approx 2000-3000 ft travelling N/N.E at a high rate of speed. I saw this with my own eyes.
04/06/2025 20:30,6/4/2025,20:30,Hyde,Hyde,Cheshire,,"Very bright light, would fade then grow brighter started descending slowly the disappeared then reappear in a different spot out"
04/06/2025 20:26,6/4/2025,20:26,,,#N/A,,Appeared 1 by 1 in a line
04/05/2025 22:38,5/4/2025,22:38,Aberystwyth,Aberystwyth,Dyfed,,Flashing lights green and blue in the distance object was square and was stationary moving occasionally
04/05/2025 01:47,5/4/2025,01:47,Taynuilt,Taynuilt,#N/A,,Walking path whilst fishing local water a clear bright satellite type object seemed to flash almost like an old camera
03/30/2025 10:30,30/3/2025,10:30,Plymouth,Plymouth,Devon,,"Not seen visually, found on video, 9 x 3 minute videos show bright light moving half inch Westward over 24 minutes, Videos Preserved."
03/28/2025 21:15,28/3/2025,21:15,Stourbridge,Stourbridge,West Midlands,,2 boomerang shaped objects flying side by side - shapes made up of individual lights which looked white in colour w reddish background
03/28/2025 15:30,28/3/2025,15:30,Eastleigh,Eastleigh,Hants,,"About the size of a small car, flying about 5 times the height of the electricity pylons towards Southampton airport, surely radar??"
03/25/2025 22:31,25/3/2025,22:31,West Drayton,West Drayton,Middlesex,,Orange blob to sharp bright circle. Long tube raised rear wing no thrust trail craft within ball of light
03/24/2025 20:13,24/3/2025,20:13,Topsham,Topsham,#N/A,,The night before the sighting my Wife and I woke to a boom and the windows shaking. Then the sighting was the night after .
03/24/2025 20:06,24/3/2025,20:06,Consett,Consett,County Durham,,Lights in cloud at first then changed to some kind of rotation (swirl?) Also 3 or 4 small lights size of stars travelling with it
03/24/2025 20:01,24/3/2025,20:01,Basildon,Basildon,Essex,,"Spinning light orb with second solid light flying next to it. Disappeared over Pitsea just vanished and was only around 15,000 feet up"
03/24/2025 20:00,24/3/2025,20:00,Fetcham,Fetcham,#N/A,,Slowly moving bright light surrounded by strange swirling aura
03/24/2025 19:55,24/3/2025,19:55,Euxton,Euxton,#N/A,,"Very bright single light in sky for c.3mins. Approx the size of Venus to the naked eye but brighter, then fading whilst expanding"
03/24/2025 19:55,24/3/2025,19:55,Leominster,Leominster,Herefordshire,,Swirl moving across sky
03/24/2025 19:54,24/3/2025,19:54,Carmarthen,Carmarthen,Dyfed,,Bright light turned into slow moving swirling dust cloud moving across sky West-East
03/24/2025 19:50,24/3/2025,19:50,Oswestry,Oswestry,Shropshire,,Bright white light with vortex around at times
03/22/2025 02:45,22/3/2025,02:45,Portsmouth,Portsmouth,Hampshire,,I was outside at work and saw what looked like a shooting star but it stopped
03/20/2025 21:30,20/3/2025,21:30,Harrow,Harrow,Middlesex,,1 rectangular light followed by two rectangular light side-by-side
03/20/2025 21:26,20/3/2025,21:26,Harrow,Harrow,Middlesex,,"3 rectangle lights, 2 side by side following another"
03/19/2025 21:56,19/3/2025,21:56,,,#N/A,,We have both seen it 3 times. It is high in the sky but can shoot up and down extremely fast but hovers then disappears rapidly
03/18/2025 09:35,18/3/2025,09:35,,,#N/A,,Thought it was a plane in distance but not moving in same way
03/15/2025 20:20,15/3/2025,20:20,Westbury,Westbury,Wiltshire,,Two orbs flying over house then shooting up into space
03/15/2025 20:04,15/3/2025,20:04,Cranleigh,Cranleigh,Surrey,,A bright white circular light followed by a singular red smaller circular light possibly 2-3km apart
03/13/2025 22:22,13/3/2025,22:22,Aberystwyth,Aberystwyth,Dyfed,,I saw a fireball coming down towards earth very bright and fast and pretty big
03/11/2025 23:01,11/3/2025,23:01,London,London,Greater London,,Keep getting beams of lights on my house like I've never seen so I had the phone camera ready and catched it on video
02/28/2025 18:26,28/2/2025,18:26,Withernsea,Withernsea,Humberside,,3 unusual objects
02/27/2025 00:16,27/2/2025,00:16,London,London,Greater London,,Two lights flying together very quick with no noise
02/25/2025 21:30,25/2/2025,21:30,,,#N/A,,2 Orange orbs in the distance
02/25/2025 20:06,25/2/2025,20:06,Liverpool,Liverpool,Merseyside,,It looked like it was tumbling/turning with no noise from it.
02/25/2025 20:05,25/2/2025,20:05,Liverpool,Liverpool,Merseyside,,It looked like it was tumbling/turning with no noise from it.
02/25/2025 18:30,25/2/2025,18:30,Thurton,Thurton,#N/A,,First observed to be due west of Ashby St Mary at an elevation of approx 45 degrees. Now (at 7:25 PM) has moved to overhead
02/24/2025 20:21,24/2/2025,20:21,Bristol,Bristol,Somerset,,Two pairs of of semi translucent round lights weaving on a deliberate course
02/22/2025 02:00,22/2/2025,02:00,Bodmin,Bodmin,Cornwall,,I was walking home late at night and seen a shooting star then 15 minutes later looked up again and seen a hat I thought was a drone
02/20/2025 18:30,20/2/2025,18:30,Polzeath,Polzeath,#N/A,,"There was a blinking light on the cliff that was too bright for a phone or headlight torch to make, that changed from red to white."
02/19/2025 12:50,19/2/2025,12:50,Maidenhead,Maidenhead,Berkshire,,So I have seen a ufo flying above David Lloyds in Maidenhead it was spinning clockwise and the ufo had a sleek matte black windows.
02/19/2025 03:40,19/2/2025,03:40,Colchester,Colchester,Essex,,"2 UFOs, essex, fireball"
02/18/2025 00:04,18/2/2025,00:04,Royal Leamington Spa,Royal Leamington Spa,#N/A,,Me and my partner seen what looked like a blue star and decided to zoom in and take video and we saw what looked like drone with turret
02/08/2025 20:44,8/2/2025,20:44,Preston,Preston,Lancashire,,Round circle ball flashing blue at first then two lines from top to bottom red and as it got closer it flashed green
02/07/2025 12:17,7/2/2025,12:17,Morval,Morval,#N/A,,Very fast moving sphere
02/06/2025 05:52,6/2/2025,05:52,Kingston upon Thames,Kingston upon Thames,Surrey,,"Two white orbs quite high around 70,000ft +"
02/05/2025 22:19,5/2/2025,22:19,Bradninch,Bradninch,#N/A,,spinning stationary 'bicycle wheel' of coloured lights
02/02/2025 16:10,2/2/2025,16:10,Leckford,Leckford,#N/A,,Stereotypical UFO that moved above a static plane in the air and vanish in a split second when I glanced for my phone camera
01/31/2025 23:45,31/1/2025,23:45,Leicester,Leicester,Leicestershire,,Felt like time stood still. Appeared to be 3 craft of triangles shaped with blue to red shimmering lights.
01/30/2025 18:00,30/1/2025,18:00,Maldon,Maldon,Essex,,Small white / Blue orb moving sporadically through the sky
01/29/2025 21:36,29/1/2025,21:36,Wath upon Dearne,Wath upon Dearne,#N/A,,I have been seeing them before but now I decided to report on here because it's becoming every night
01/29/2025 00:25,29/1/2025,00:25,Robertsbridge,Robertsbridge,East Sussex,,Orb sighting acting erratically in night sky in rural village
01/28/2025 19:32,28/1/2025,19:32,Formby,Formby,Merseyside,,Pulsating green light moved swiftly in straight lines across the sky before disappearing
01/28/2025 18:24,28/1/2025,18:24,Macclesfield,Macclesfield,Cheshire,,"I saw two circular spinning silver discs above Ryles Park Road, Macclesfield"
01/25/2025 22:20,25/1/2025,22:20,Milnrow,Milnrow,#N/A,,"Higher up than a plane, at least 15 times faster… 8kmph no sonic boom"
01/25/2025 22:20,25/1/2025,22:20,Milnrow,Milnrow,#N/A,,"Very high speed, intelligent slow turn, high altitude"
01/23/2025 19:10,23/1/2025,19:10,Wokingham,Wokingham,Berkshire,,UFO or portal that emitted UFOs
01/22/2025 22:15,22/1/2025,22:15,Folkestone,Folkestone,Kent,,We saw a triangular shaped object maybe 20 metres long doing a circular pattern over the school for around a minute and a half.
01/21/2025 23:01,21/1/2025,23:01,,,#N/A,,Orb flashing green white light
01/21/2025 05:30,21/1/2025,05:30,Lichfield,Lichfield,Staffordshire,,"Driving, see visibly a diamond/kite shape moving throughout the sky very close to the road"
01/17/2025 17:21,17/1/2025,17:21,Welling,Welling,Kent,,Huge bridge yellow gold circular object. Dissolved into the atmosphere
01/14/2025 03:15,14/1/2025,03:15,London,London,Greater London,,It felt as if we got taken
01/13/2025 14:47,13/1/2025,14:47,London,London,Greater London,,I had just left my house to run to the shop for a drink and saw something floating
01/12/2025 12:14,12/1/2025,12:14,Welwyn Garden City,Welwyn Garden City,Hertfordshire,,The craft was donut shaped and oscillating at high speed.
01/09/2025 04:00,9/1/2025,04:00,Elderslie,Elderslie,#N/A,,Seen a massive dark triangle craft with circular shapes near each corner with rectangular shape below the top circle
01/08/2025 23:40,8/1/2025,23:40,Eccles,Eccles,#N/A,,Fast moving bright white object
01/07/2025 21:08,7/1/2025,21:08,Uxbridge,Uxbridge,Middlesex,,
01/07/2025 08:45,7/1/2025,08:45,Penzance,Penzance,Cornwall,,Orange moving orb that moved to the left and over a white orb
01/06/2025 21:50,6/1/2025,21:50,London,London,Greater London,,"I was driving home and I thought I saw an airplane with green lights but it didn’t seem to move, when I got home was still stationary."
01/06/2025 19:00,6/1/2025,19:00,Carmarthen,Carmarthen,Dyfed,,Orbs followed by military jets
