Date nuforc,Time norc,City2,county norc,occupation,Summary
9/8/2025,12:00,Cliffsend,,,A huge bright orb shape speeding so fast over the top of my house accross the ocean. Dissappeard in less than a second.
8/8/2025,10:28,ThorpeEnd,,,Changing / rotating orb in the sky traveling from SW to NE
4/8/2025,02:30,Winkleigh,Devon,,Flickering oval light with smaller more orange lights leaving and returning to it
1/8/2025,20:28,Gillingham,Kent,,Stationary craft in the air and after 30 seconds it began to move at very high speed before disappearing.
31/7/2025,22:40,Ditton,Kent,,Large star like object flashed across the sky.
30/7/2025,22:10,Chipstead,,,The object slowly came into sight. From a thin line into a bright slight stationary. Then slowly disappeared into the distance.
23/7/2025,04:35,Plymouth,Devon,,Multiple orbs moving in smooth sequence under cloud cover. One changed direction perpendicularly and then all disappeared in cloud
21/7/2025,22:58,Birmingham,West Midlands,,Square reflecting object above passenger airline
18/7/2025,03:00,Newport,South Glamorgan,,Extremely bright ball of green light ontracting and expanding about the size of a football making little or no sound.
17/7/2025,21:54,Torquay,Devon,,"Orange orbs moving about 120 mph at 45 degrees eastwards from Torquay. Video and pictures taken, geo-located using static cargo ship."
13/7/2025,01:25,Pangbourne,,,"Bright object, erratic movement. Initially mistaken for a plane, until it stopped and abruptly changed direction. Silent."
11/7/2025,22:11,Loughton,Essex,,Oval space craft seen from balcony
11/7/2025,00:19,Lowestoft,Suffolk,,"On July 11, 2025, at 00:11 AM BST, I observed a bright, star-like object at 52.5051° N, 1.7354° E, 1,000 meters above 13 Clover Way, Lo"
9/7/2025,22:22,Liverpool,Merseyside,,Faint ball of light zipping about the sky
9/7/2025,01:15,Gosport,Hampshire,,I saw two star like objects move fast towards each other then circle round each other and fly away in the opposite direction from one a
5/7/2025,01:52,Chatham,Kent,,"Object was in my line of sight as I turned, gliding along. I asked it to give me a sign. It shot a beam ahead of it, almost instantly."
4/7/2025,00:03,Plymouth,Devon,,Multiple UAP moving erratically in a 'stone skipping' motion
2/7/2025,02:08,Swindon,Wiltshire,,2 round lights hovering above my flat im on 5 th floor it was 100ft above 500 ft away then tuned 180 degrees an slowly moved off
1/7/2025,02:00,Glasgow,Lanarkshire,,"Pale yellow light, made a loop down and shot straight up"
29/6/2025,14:45,Chigwell,Essex,,3 of us noticed strange circling object in the sky
27/6/2025,17:15,Blofield,,,Structured Bright white arrow shaped object photographed in the sky. Appeared to be quite low.
27/6/2025,15:15,ThorpeEnd,,,Sphere seen traveling across the sky at a high speed and altitude
24/6/2025,01:00,Winchelsea,,,An illuminated cloud appearing on a moonless clear night and moved against the wind with satellite-like bright lights within.
21/6/2025,23:30,Selby,North Yorkshire,,On the Evening of the 21st of June I witnessed 10 strange white lights moving in all directions over a period of around 4 hours.
21/6/2025,03:57,,,,Black disc circle in centre was quite small
13/6/2025,00:00,WestwardHo!,,,Looked like a beam of light but also a bit like a flying saurcer
11/6/2025,23:30,Bexhill,East Sussex,,"About 30 fast, silent blue objects flew in sync across the sky in one minute—no lights, no sound, surreal, and deeply unsettling."
10/6/2025,23:30,Matlock,Derbyshire,,Looked out of my ensuite window onto the hillside opposite.. saw a strip of orange in the sky above..
8/6/2025,19:44,BrightonandHove,,,A craft moving very fast then landed
8/6/2025,00:05,London,Greater London,,I was smoking a cigarette on the balcony and saw this object moving faster than a plane and it was like bit splitting.
3/6/2025,23:58,Taverham,,,I was in the back garden when the ufo zoomed across the sky but faster than anything possible then changed direction slowed up then up
2/6/2025,12:08,Malpas,Cheshire,,Tear-shaped silver floating orb
29/5/2025,02:10,RedLodge,,,A hexagon at top with circle bottom slowly moving in a circle scanning my house it had a big golden light keep covering it whole
25/5/2025,20:28,,,,"White lights - I thought it was a plane, then I realised it wasn't by the way it was moving in quick swooping motions up and down"
23/5/2025,23:56,Alva,,,It was there with the window lights. If I was approximating the size 3 quarters of a football field.
22/5/2025,14:20,Johnstown,,,3 white lights crossed over my field of vision. One of the lights seemed to move more independently than the other two.
19/5/2025,22:20,Cardiff,Glamorgan,,It was night and I was at my grandma's house Inside and I saw 5 of them
17/5/2025,19:54,Sandiacre,,,"Quiet black egg shaped object flying towards us at a distance, then flying back to where it came from"
17/5/2025,00:00,Chirk,,,I have video footage of a bright white light moving around the sky in an un earthly way. I zoomed on my camera and it was a light blue
16/5/2025,14:00,Waterlooville,Hampshire,,Saw 3 of them in formation. 1 in front 2 either side triangle. They looked stationary.white in colour
16/5/2025,11:10,Cumbernauld,,,Large metallic sphere. It made a strange sort of humming noise.
15/5/2025,22:58,,,,"Looked up to see an orb, thought it was a star until it started moving away in an erratic movement."
15/5/2025,00:12,StoneyStanton,,,Bright ball of light that became a craft of some sort with green and white lights on each side. Silent. Flying awkwardly
14/5/2025,14:19,Buildwas,,,Changing vertical cigar-shaped object in the sky
14/5/2025,03:00,Alderholt,,,I opened my curtains to see two bright white lights moving quickly across the sky and very low.
12/5/2025,23:40,Blackpool,Lancashire,,Video evidence swirling orb zipping around. Then elongated craft like it liquidised/ morphed in to different shape.
12/5/2025,22:15,Elton,,,Was out waiting to see full moon come up. Spotted this light moving across the sky and decided to make a phone video of it and others.
12/5/2025,14:45,Aberystwyth,Dyfed,,"I could see a strange craft that was silver with a bright light so I couldn't determine the shape, it was hovering in the sky"
10/5/2025,23:45,Portadown,Northern Ireland,,"We watched starkink crossing the sky and then a DHL flight from Cincinatti flew over, we saw the light."
10/5/2025,01:56,Barlby,,,White fuzzy shape flying from the east
9/5/2025,22:51,UpperArncott,,,"Bright constant white light travelling SW-NE direction at 3-5,000ft, no noise, made sudden changes in direction"
4/5/2025,12:47,Yatton,,,Massive bright light appears in the sky for a brief period before disappearing without a trace
4/5/2025,02:22,Polegate,,,"I looked up and saw a very fast green dot, very high, no flashing, small, no noise, no trail, again it was extremely fast."
3/5/2025,15:25,Southampton,Hampshire,,"While watching 2 aircraft passing east to west and the other west to east, then saw a tic tac uap cross their contrails and disappear."
2/5/2025,23:14,Kilmarnock,East Ayrshire,,"Saw 2 white dots (looked like moving stars), one after the other, following exactly the same trajectory then seemingly disappearing"
1/5/2025,21:10,GreatMalvern,,,"We were upstairs in the bedroom, looking out of the window. Just after 9.00pm, in the dark sky in Malvern UK, I saw a UFO!"
30/4/2025,08:30,Cannock,Staffordshire,,Two UAP’s stationary in the sky and also moving by each other
29/4/2025,22:00,Holywell,Flintshire,,Silent white light that became brighter then disappeared
29/4/2025,16:58,Failsworth,,,2 X small balls white and silver
29/4/2025,03:00,CoombeBissett,,,Sighting of clock type lights in sky
28/4/2025,13:21,London,Greater London,,Objects seen above Regent's Park in London.
27/4/2025,22:40,Carcroft,,,Black triangle low no noise 4 lights
25/4/2025,23:08,Ashby-de-la-Zouch,,,"Thought it was star, until it moved and got closer and closer towards me and was moving in erratic motion."
21/4/2025,23:26,Gloucester,Gloucestershire,,The lights. In shape of triangle
21/4/2025,21:00,SouthNutfield,,,"Oval-shaped UAP with tail seen over M23 moving east to west at very slow speed; multiple red flashing lights, no rotors or engine noise"
19/4/2025,21:04,Lowestoft,Suffolk,,Green dots not moving or moving really fast and abnormal swishing sounds and rumbles
15/4/2025,17:00,Bridgnorth,Salop,,"Silent, slow-moving craft under 100 yards away—beautifully engineered, no sound at all. Too advanced to ignore. I had to report it."
13/4/2025,22:40,Duns,Borders,,"Small, white object moved toward the Moon, stopped, reversed for 45s, then returned toward Moon. No sound, no satellite found."
12/4/2025,17:11,Stratford-upon-Avon,Warwickshire,,I don't know what it was.
11/4/2025,18:00,Wolverhampton,West Midlands,,Strange object in the sky over wolverhampton
10/4/2025,21:00,Norwich,Norfolk,,Two orbs were flying silently from south to north.
10/4/2025,15:45,Blackridge,West Lothian,,Footage was captured by a drone in Central Scotland on the 10th of April 2025.It appears to show 2 objects travelling at high speed pa
8/4/2025,22:30,,,,Green light appeared over head
8/4/2025,22:15,Plymouth,Devon,,Green light appeared over head
8/4/2025,03:38,Stoke-on-Trent,Staffordshire,,Triangle shaped object with 7 lights at the front
7/4/2025,17:39,,,,"Hard to describe.. moved very slowly and changed direction 4 times, multiple passenger airliners flew in same direction"
7/4/2025,16:20,Bristol,Somerset,,I saw a White ball/disc at approx 2000-3000 ft travelling N/N.E at a high rate of speed. I saw this with my own eyes.
6/4/2025,20:30,Hyde,Cheshire,,"Very bright light, would fade then grow brighter started descending slowly the disappeared then reappear in a different spot out"
6/4/2025,20:26,,,,Appeared 1 by 1 in a line
5/4/2025,22:38,Aberystwyth,Dyfed,,Flashing lights green and blue in the distance object was square and was stationary moving occasionally
5/4/2025,01:47,Taynuilt,,,Walking path whilst fishing local water a clear bright satellite type object seemed to flash almost like an old camera
30/3/2025,10:30,Plymouth,Devon,,"Not seen visually, found on video, 9 x 3 minute videos show bright light moving half inch Westward over 24 minutes, Videos Preserved."
28/3/2025,21:15,Stourbridge,West Midlands,,2 boomerang shaped objects flying side by side - shapes made up of individual lights which looked white in colour w reddish background
28/3/2025,15:30,Eastleigh,Hants,,"About the size of a small car, flying about 5 times the height of the electricity pylons towards Southampton airport, surely radar??"
25/3/2025,22:31,West Drayton,Middlesex,,Orange blob to sharp bright circle. Long tube raised rear wing no thrust trail craft within ball of light
24/3/2025,20:13,Topsham,,,The night before the sighting my Wife and I woke to a boom and the windows shaking. Then the sighting was the night after .
24/3/2025,20:06,Consett,County Durham,,Lights in cloud at first then changed to some kind of rotation (swirl?) Also 3 or 4 small lights size of stars travelling with it
24/3/2025,20:01,Basildon,Essex,,"Spinning light orb with second solid light flying next to it. Disappeared over Pitsea just vanished and was only around 15,000 feet up"
24/3/2025,20:00,Fetcham,,,Slowly moving bright light surrounded by strange swirling aura
24/3/2025,19:55,Euxton,,,"Very bright single light in sky for c.3mins. Approx the size of Venus to the naked eye but brighter, then fading whilst expanding"
24/3/2025,19:55,Leominster,Herefordshire,,Swirl moving across sky
24/3/2025,19:54,Carmarthen,Dyfed,,Bright light turned into slow moving swirling dust cloud moving across sky West-East
24/3/2025,19:50,Oswestry,Shropshire,,Bright white light with vortex around at times
22/3/2025,02:45,Portsmouth,Hampshire,,I was outside at work and saw what looked like a shooting star but it stopped
20/3/2025,21:30,Harrow,Middlesex,,1 rectangular light followed by two rectangular light side-by-side
20/3/2025,21:26,Harrow,Middlesex,,"3 rectangle lights, 2 side by side following another"
19/3/2025,21:56,,,,We have both seen it 3 times. It is high in the sky but can shoot up and down extremely fast but hovers then disappears rapidly
18/3/2025,09:35,,,,Thought it was a plane in distance but not moving in same way
15/3/2025,20:20,Westbury,Wiltshire,,Two orbs flying over house then shooting up into space
15/3/2025,20:04,Cranleigh,Surrey,,A bright white circular light followed by a singular red smaller circular light possibly 2-3km apart
13/3/2025,22:22,Aberystwyth,Dyfed,,I saw a fireball coming down towards earth very bright and fast and pretty big
11/3/2025,23:01,London,Greater London,,Keep getting beams of lights on my house like I've never seen so I had the phone camera ready and catched it on video
28/2/2025,18:26,Withernsea,Humberside,,3 unusual objects
27/2/2025,00:16,London,Greater London,,Two lights flying together very quick with no noise
25/2/2025,21:30,,,,2 Orange orbs in the distance
25/2/2025,20:06,Liverpool,Merseyside,,It looked like it was tumbling/turning with no noise from it.
25/2/2025,20:05,Liverpool,Merseyside,,It looked like it was tumbling/turning with no noise from it.
25/2/2025,18:30,Thurton,,,First observed to be due west of Ashby St Mary at an elevation of approx 45 degrees. Now (at 7:25 PM) has moved to overhead
24/2/2025,20:21,Bristol,Somerset,,Two pairs of of semi translucent round lights weaving on a deliberate course
22/2/2025,02:00,Bodmin,Cornwall,,I was walking home late at night and seen a shooting star then 15 minutes later looked up again and seen a hat I thought was a drone
20/2/2025,18:30,Polzeath,,,"There was a blinking light on the cliff that was too bright for a phone or headlight torch to make, that changed from red to white."
19/2/2025,12:50,Maidenhead,Berkshire,,So I have seen a ufo flying above David Lloyds in Maidenhead it was spinning clockwise and the ufo had a sleek matte black windows.
19/2/2025,03:40,Colchester,Essex,,"2 UFOs, essex, fireball"
18/2/2025,00:04,RoyalLeamingtonSpa,,,Me and my partner seen what looked like a blue star and decided to zoom in and take video and we saw what looked like drone with turret
8/2/2025,20:44,Preston,Lancashire,,Round circle ball flashing blue at first then two lines from top to bottom red and as it got closer it flashed green
7/2/2025,12:17,Morval,,,Very fast moving sphere
6/2/2025,05:52,Kingston upon Thames,Surrey,,"Two white orbs quite high around 70,000ft +"
5/2/2025,22:19,Bradninch,,,spinning stationary 'bicycle wheel' of coloured lights
2/2/2025,16:10,Leckford,,,Stereotypical UFO that moved above a static plane in the air and vanish in a split second when I glanced for my phone camera
31/1/2025,23:45,Leicester,Leicestershire,,Felt like time stood still. Appeared to be 3 craft of triangles shaped with blue to red shimmering lights.
30/1/2025,18:00,Maldon,Essex,,Small white / Blue orb moving sporadically through the sky
29/1/2025,21:36,WathuponDearne,,,I have been seeing them before but now I decided to report on here because it's becoming every night
29/1/2025,00:25,Robertsbridge,East Sussex,,Orb sighting acting erratically in night sky in rural village
28/1/2025,19:32,Formby,Merseyside,,Pulsating green light moved swiftly in straight lines across the sky before disappearing
28/1/2025,18:24,Macclesfield,Cheshire,,"I saw two circular spinning silver discs above Ryles Park Road, Macclesfield"
25/1/2025,22:20,Milnrow,,,"Higher up than a plane, at least 15 times faster… 8kmph no sonic boom"
25/1/2025,22:20,Milnrow,,,"Very high speed, intelligent slow turn, high altitude"
23/1/2025,19:10,Wokingham,Berkshire,,UFO or portal that emitted UFOs
