Date,Day,Month,Year,Time,City,County,Reporter_Occupation,Sighting,Sighting_Tokenised,overall_emotion,experience_overall
1997-01-02 00:00:00,2.0,1.0,1997.0,20:58:00,Immingham,Lincolnshire,,"a large ufo, with all different colour of lights around it. was stationary for some time, then started moving, making small erratic movements.","['large', 'different', 'colour', 'lights', 'around', 'stationary', 'time', 'started', 'moving', 'making', 'small', 'erratic', 'movements']",anticipation,Negative
1997-01-02 00:00:00,2.0,1.0,1997.0,23:35:00,Scunthorpe,North Lincolnshire,,an object that is continually changing colour. normal star shape.,"['object', 'continually', 'changing', 'colour', 'normal', 'star', 'shape']",anticipation,Positive
1997-01-03 00:00:00,3.0,1.0,1997.0,07:45:00,Formby/Liverpool,Merseyside,,"an oval, cigar shaped object. when the object speeded up, the witness could see red and white lights around or underneath it.","['oval', 'cigar', 'shaped', 'object', 'object', 'speeded', 'witness', 'could', 'see', 'red', 'white', 'lights', 'around', 'underneath']",anticipation,Positive
1997-01-04 00:00:00,4.0,1.0,1997.0,23:20:00,Beith,Ayrshire,,there were circular lights that were indistinct. the object was continually orbiting and tilting.,"['circular', 'lights', 'indistinct', 'object', 'continually', 'orbiting', 'tilting']",anger,Negative
1997-01-13 00:00:00,13.0,1.0,1997.0,21:00:00,Brockton,Staffordshire,,"one, north star sized object. red and green colours, brighter than a star. was moving from west to north.","['one', 'north', 'star', 'sized', 'object', 'red', 'green', 'colours', 'brighter', 'star', 'moving', 'west', 'north']",joy,Positive
1997-01-13 00:00:00,13.0,1.0,1997.0,19:35:00,Peacehaven,East Sussex,,"one star shaped object. it had white, red and green flickering lights. it was very high and moving very slowly.","['one', 'star', 'shaped', 'object', 'white', 'red', 'green', 'flickering', 'lights', 'high', 'moving', 'slowly']",joy,Positive
1997-01-13 00:00:00,13.0,1.0,1997.0,19:40:00,Eynsham,Oxfordshire,,"one object, larger than a light plane. was circular and greenish in colour. moved faster than a plane and then appeared to fall to the ground.","['one', 'object', 'larger', 'light', 'plane', 'circular', 'greenish', 'colour', 'moved', 'faster', 'plane', 'appeared', 'fall', 'ground']",disgust,Negative
1997-01-13 00:00:00,13.0,1.0,1997.0,19:00:00,Watlington/Kings Lynn,Norfolk,,"two bright white lights and three green lights in a row, with a red light beneath, seen hovering above a field.","['two', 'bright', 'white', 'lights', 'three', 'green', 'lights', 'row', 'red', 'light', 'beneath', 'seen', 'hovering', 'field']",joy,Positive
1997-01-13 00:00:00,13.0,1.0,1997.0,22:30:00,Kessingland/Nr Lowestoft,Suffolk,,"huge lights, like a child's sparkler, round, and as big as a house. there was no sound.","['huge', 'lights', 'child', ""'s"", 'sparkler', 'round', 'big', 'house', 'sound']",anticipation,Positive
1997-01-14 00:00:00,14.0,1.0,1997.0,20:00:00,Selby,North Yorkshire,,"one, star shaped object. it was multicoloured. the object was stationary for over two hours.","['one', 'star', 'shaped', 'object', 'multicoloured', 'object', 'stationary', 'two', 'hours']",anticipation,Positive
1997-01-16 00:00:00,16.0,1.0,1997.0,08:45:00,Dunfermline,Fife,,"there was an orange glow in the sky. small plane sized, cigar shaped object. it descended quickly.","['orange', 'glow', 'sky', 'small', 'plane', 'sized', 'cigar', 'shaped', 'object', 'descended', 'quickly']",anticipation,Positive
1997-01-20 00:00:00,20.0,1.0,1997.0,08:00:00,Rock/Nr Kidderminster,Worcestershire,,"five lights were seen in the sky. they then formed into two dashes. one moved off, and then they all disappeared.","['five', 'lights', 'seen', 'sky', 'formed', 'two', 'dashes', 'one', 'moved', 'disappeared']",fear,Positive
1997-01-20 00:00:00,20.0,1.0,1997.0,07:00:00,Rochdale,Lancashire,,"two white lights that were oblong shaped, and very bright. they were heading in every direction.","['two', 'white', 'lights', 'oblong', 'shaped', 'bright', 'heading', 'every', 'direction']",anticipation,Positive
1997-01-20 00:00:00,20.0,1.0,1997.0,06:55:00,Coppull/Nr Chorley,Lancashire,,"three lights in a triangular formation. the lights split up and then proceeded in three separate directions, at the speed of the car.","['three', 'lights', 'triangular', 'formation', 'lights', 'split', 'proceeded', 'three', 'separate', 'directions', 'speed', 'car']",anger,Negative
1997-01-20 00:00:00,20.0,1.0,1997.0,07:00:00,Henley-in-Arden,Warwickshire,,a triangle of three stars. one was stationary and the other two were moving at the speed of a plane. they were brilliant white.,"['triangle', 'three', 'stars', 'one', 'stationary', 'two', 'moving', 'speed', 'plane', 'brilliant', 'white']",anticipation,Positive
1997-01-20 00:00:00,20.0,1.0,1997.0,19:15:00,Bradford,West Yorkshire,,"five, round shaped flashing lights. red and white in colour. they separated and went in different directions.","['five', 'round', 'shaped', 'flashing', 'lights', 'red', 'white', 'colour', 'separated', 'went', 'different', 'directions']",anticipation,Positive
1997-01-20 00:00:00,20.0,1.0,1997.0,19:01:00,Invergary,Invernesshire,,intermittent light was flashing red. then two flying objects were seen.,"['intermittent', 'light', 'flashing', 'red', 'two', 'flying', 'objects', 'seen']",anger,Negative
