Date and Time Reported,City,Summary
08/09/2025 12:00,Cliffsend,A huge bright orb shape speeding so fast over the top of my house accross the ocean. Dissappeard in less than a second.
08/08/2025 10:28,Thorpe End,Changing / rotating orb in the sky traveling from SW to NE
08/04/2025 02:30,Winkleigh,Flickering oval light with smaller more orange lights leaving and returning to it
08/01/2025 20:28,Gillingham,Stationary craft in the air and after 30 seconds it began to move at very high speed before disappearing.
07/31/2025 22:40,Ditton,Large star like object flashed across the sky.
07/30/2025 22:10,Chipstead,The object slowly came into sight. From a thin line into a bright slight stationary. Then slowly disappeared into the distance.
07/23/2025 04:35,Plymouth,Multiple orbs moving in smooth sequence under cloud cover. One changed direction perpendicularly and then all disappeared in cloud
07/21/2025 22:58,Birmingham,Square reflecting object above passenger airline
07/18/2025 03:00,Newport,Extremely bright ball of green light ontracting and expanding about the size of a football making little or no sound.
07/17/2025 21:54,Torquay,"Orange orbs moving about 120 mph at 45 degrees eastwards from Torquay. Video and pictures taken, geo-located using static cargo ship."
07/13/2025 01:25,Pangbourne,"Bright object, erratic movement. Initially mistaken for a plane, until it stopped and abruptly changed direction. Silent."
07/11/2025 22:11,Loughton,Oval space craft seen from balcony
07/11/2025 00:19,Lowestoft,"On July 11, 2025, at 00:11 AM BST, I observed a bright, star-like object at 52.5051° N, 1.7354° E, 1,000 meters above 13 Clover Way, Lo"
07/09/2025 22:22,Liverpool,Faint ball of light zipping about the sky
07/09/2025 01:15,Gosport,I saw two star like objects move fast towards each other then circle round each other and fly away in the opposite direction from one a
07/05/2025 01:52,Chatham,"Object was in my line of sight as I turned, gliding along. I asked it to give me a sign. It shot a beam ahead of it, almost instantly."
07/04/2025 00:03,Plymouth,Multiple UAP moving erratically in a 'stone skipping' motion
07/02/2025 02:08,Swindon,2 round lights hovering above my flat im on 5 th floor it was 100ft above 500 ft away then tuned 180 degrees an slowly moved off
07/01/2025 02:00,Glasgow,"Pale yellow light, made a loop down and shot straight up"
06/29/2025 14:45,Chigwell,3 of us noticed strange circling object in the sky
06/27/2025 17:15,Blofield,Structured Bright white arrow shaped object photographed in the sky. Appeared to be quite low.
06/27/2025 15:15,Thorpe End,Sphere seen traveling across the sky at a high speed and altitude
06/24/2025 01:00,Winchelsea,An illuminated cloud appearing on a moonless clear night and moved against the wind with satellite-like bright lights within.
06/21/2025 23:30,Selby,On the Evening of the 21st of June I witnessed 10 strange white lights moving in all directions over a period of around 4 hours.
06/21/2025 03:57,,Black disc circle in centre was quite small
06/13/2025 00:00,Westward Ho!,Looked like a beam of light but also a bit like a flying saurcer
06/11/2025 23:30,Bexhill,"About 30 fast, silent blue objects flew in sync across the sky in one minute—no lights, no sound, surreal, and deeply unsettling."
06/10/2025 23:30,Matlock,Looked out of my ensuite window onto the hillside opposite.. saw a strip of orange in the sky above..
06/08/2025 19:44,Brighton and Hove,A craft moving very fast then landed
06/08/2025 00:05,London,I was smoking a cigarette on the balcony and saw this object moving faster than a plane and it was like bit splitting.
06/03/2025 23:58,Taverham,I was in the back garden when the ufo zoomed across the sky but faster than anything possible then changed direction slowed up then up
06/02/2025 12:08,Malpas,Tear-shaped silver floating orb
05/29/2025 02:10,Red Lodge,A hexagon at top with circle bottom slowly moving in a circle scanning my house it had a big golden light keep covering it whole
05/25/2025 20:28,,"White lights - I thought it was a plane, then I realised it wasn't by the way it was moving in quick swooping motions up and down"
05/23/2025 23:56,Alva,It was there with the window lights. If I was approximating the size 3 quarters of a football field.
05/22/2025 14:20,Johnstown,3 white lights crossed over my field of vision. One of the lights seemed to move more independently than the other two.
05/19/2025 22:20,Cardiff,It was night and I was at my grandma's house Inside and I saw 5 of them
05/17/2025 19:54,Sandiacre,"Quiet black egg shaped object flying towards us at a distance, then flying back to where it came from"
05/17/2025 00:00,Chirk,I have video footage of a bright white light moving around the sky in an un earthly way. I zoomed on my camera and it was a light blue
05/16/2025 14:00,Waterlooville,Saw 3 of them in formation. 1 in front 2 either side triangle. They looked stationary.white in colour
05/16/2025 11:10,Cumbernauld,Large metallic sphere. It made a strange sort of humming noise.
05/15/2025 22:58,,"Looked up to see an orb, thought it was a star until it started moving away in an erratic movement."
05/15/2025 00:12,Stoney Stanton,Bright ball of light that became a craft of some sort with green and white lights on each side. Silent. Flying awkwardly
05/14/2025 14:19,Buildwas,Changing vertical cigar-shaped object in the sky
05/14/2025 03:00,Alderholt,I opened my curtains to see two bright white lights moving quickly across the sky and very low.
05/12/2025 23:40,Blackpool,Video evidence swirling orb zipping around. Then elongated craft like it liquidised/ morphed in to different shape.
05/12/2025 22:15,Elton,Was out waiting to see full moon come up. Spotted this light moving across the sky and decided to make a phone video of it and others.
05/12/2025 14:45,Aberystwyth,"I could see a strange craft that was silver with a bright light so I couldn't determine the shape, it was hovering in the sky"
05/10/2025 23:45,Portadown,"We watched starkink crossing the sky and then a DHL flight from Cincinatti flew over, we saw the light."
05/10/2025 01:56,Barlby,White fuzzy shape flying from the east
05/09/2025 22:51,Upper Arncott,"Bright constant white light travelling SW-NE direction at 3-5,000ft, no noise, made sudden changes in direction"
05/04/2025 12:47,Yatton,Massive bright light appears in the sky for a brief period before disappearing without a trace
05/04/2025 02:22,Polegate,"I looked up and saw a very fast green dot, very high, no flashing, small, no noise, no trail, again it was extremely fast."
05/03/2025 15:25,Southampton,"While watching 2 aircraft passing east to west and the other west to east, then saw a tic tac uap cross their contrails and disappear."
05/02/2025 23:14,Kilmarnock,"Saw 2 white dots (looked like moving stars), one after the other, following exactly the same trajectory then seemingly disappearing"
05/01/2025 21:10,Great Malvern,"We were upstairs in the bedroom, looking out of the window. Just after 9.00pm, in the dark sky in Malvern UK, I saw a UFO!"
04/30/2025 08:30,Cannock,Two UAP’s stationary in the sky and also moving by each other
04/29/2025 22:00,Holywell,Silent white light that became brighter then disappeared
04/29/2025 16:58,Failsworth,2 X small balls white and silver
04/29/2025 03:00,Coombe Bissett,Sighting of clock type lights in sky
04/28/2025 13:21,London,Objects seen above Regent's Park in London.
04/27/2025 22:40,Carcroft,Black triangle low no noise 4 lights
04/25/2025 23:08,Ashby-de-la-Zouch,"Thought it was star, until it moved and got closer and closer towards me and was moving in erratic motion."
04/21/2025 23:26,Gloucester,The lights. In shape of triangle
04/21/2025 21:00,South Nutfield,"Oval-shaped UAP with tail seen over M23 moving east to west at very slow speed; multiple red flashing lights, no rotors or engine noise"
04/19/2025 21:04,Lowestoft,Green dots not moving or moving really fast and abnormal swishing sounds and rumbles
04/15/2025 17:00,Bridgnorth,"Silent, slow-moving craft under 100 yards away—beautifully engineered, no sound at all. Too advanced to ignore. I had to report it."
04/13/2025 22:40,Duns,"Small, white object moved toward the Moon, stopped, reversed for 45s, then returned toward Moon. No sound, no satellite found."
04/12/2025 17:11,Stratford-upon-Avon,I don't know what it was.
04/11/2025 18:00,Wolverhampton,Strange object in the sky over wolverhampton
04/10/2025 21:00,Norwich,Two orbs were flying silently from south to north.
04/10/2025 15:45,Blackridge,Footage was captured by a drone in Central Scotland on the 10th of April 2025.It appears to show 2 objects travelling at high speed pa
04/08/2025 22:30,,Green light appeared over head
04/08/2025 22:15,Plymouth,Green light appeared over head
04/08/2025 03:38,Stoke-on-Trent,Triangle shaped object with 7 lights at the front
04/07/2025 17:39,,"Hard to describe.. moved very slowly and changed direction 4 times, multiple passenger airliners flew in same direction"
04/07/2025 16:20,Bristol,I saw a White ball/disc at approx 2000-3000 ft travelling N/N.E at a high rate of speed. I saw this with my own eyes.
04/06/2025 20:30,Hyde,"Very bright light, would fade then grow brighter started descending slowly the disappeared then reappear in a different spot out"
04/06/2025 20:26,,Appeared 1 by 1 in a line
04/05/2025 22:38,Aberystwyth,Flashing lights green and blue in the distance object was square and was stationary moving occasionally
04/05/2025 01:47,Taynuilt,Walking path whilst fishing local water a clear bright satellite type object seemed to flash almost like an old camera
03/30/2025 10:30,Plymouth,"Not seen visually, found on video, 9 x 3 minute videos show bright light moving half inch Westward over 24 minutes, Videos Preserved."
03/28/2025 21:15,Stourbridge,2 boomerang shaped objects flying side by side - shapes made up of individual lights which looked white in colour w reddish background
03/28/2025 15:30,Eastleigh,"About the size of a small car, flying about 5 times the height of the electricity pylons towards Southampton airport, surely radar??"
03/25/2025 22:31,West Drayton,Orange blob to sharp bright circle. Long tube raised rear wing no thrust trail craft within ball of light
03/24/2025 20:13,Topsham,The night before the sighting my Wife and I woke to a boom and the windows shaking. Then the sighting was the night after .
03/24/2025 20:06,Consett,Lights in cloud at first then changed to some kind of rotation (swirl?) Also 3 or 4 small lights size of stars travelling with it
03/24/2025 20:01,Basildon,"Spinning light orb with second solid light flying next to it. Disappeared over Pitsea just vanished and was only around 15,000 feet up"
03/24/2025 20:00,Fetcham,Slowly moving bright light surrounded by strange swirling aura
03/24/2025 19:55,Euxton,"Very bright single light in sky for c.3mins. Approx the size of Venus to the naked eye but brighter, then fading whilst expanding"
03/24/2025 19:55,Leominster,Swirl moving across sky
03/24/2025 19:54,Carmarthen,Bright light turned into slow moving swirling dust cloud moving across sky West-East
03/24/2025 19:50,Oswestry,Bright white light with vortex around at times
03/22/2025 02:45,Portsmouth,I was outside at work and saw what looked like a shooting star but it stopped
03/20/2025 21:30,Harrow,1 rectangular light followed by two rectangular light side-by-side
03/20/2025 21:26,Harrow,"3 rectangle lights, 2 side by side following another"
03/19/2025 21:56,,We have both seen it 3 times. It is high in the sky but can shoot up and down extremely fast but hovers then disappears rapidly
03/18/2025 09:35,,Thought it was a plane in distance but not moving in same way
03/15/2025 20:20,Westbury,Two orbs flying over house then shooting up into space
03/15/2025 20:04,Cranleigh,A bright white circular light followed by a singular red smaller circular light possibly 2-3km apart
03/13/2025 22:22,Aberystwyth,I saw a fireball coming down towards earth very bright and fast and pretty big
03/11/2025 23:01,London,Keep getting beams of lights on my house like I've never seen so I had the phone camera ready and catched it on video
02/28/2025 18:26,Withernsea,3 unusual objects
02/27/2025 00:16,London,Two lights flying together very quick with no noise
02/25/2025 21:30,,2 Orange orbs in the distance
02/25/2025 20:06,Liverpool,It looked like it was tumbling/turning with no noise from it.
02/25/2025 20:05,Liverpool,It looked like it was tumbling/turning with no noise from it.
02/25/2025 18:30,Thurton,First observed to be due west of Ashby St Mary at an elevation of approx 45 degrees. Now (at 7:25 PM) has moved to overhead
02/24/2025 20:21,Bristol,Two pairs of of semi translucent round lights weaving on a deliberate course
02/22/2025 02:00,Bodmin,I was walking home late at night and seen a shooting star then 15 minutes later looked up again and seen a hat I thought was a drone
02/20/2025 18:30,Polzeath,"There was a blinking light on the cliff that was too bright for a phone or headlight torch to make, that changed from red to white."
02/19/2025 12:50,Maidenhead,So I have seen a ufo flying above David Lloyds in Maidenhead it was spinning clockwise and the ufo had a sleek matte black windows.
02/19/2025 03:40,Colchester,"2 UFOs, essex, fireball"
02/18/2025 00:04,Royal Leamington Spa,Me and my partner seen what looked like a blue star and decided to zoom in and take video and we saw what looked like drone with turret
02/08/2025 20:44,Preston,Round circle ball flashing blue at first then two lines from top to bottom red and as it got closer it flashed green
02/07/2025 12:17,Morval,Very fast moving sphere
02/06/2025 05:52,Kingston upon Thames,"Two white orbs quite high around 70,000ft +"
02/05/2025 22:19,Bradninch,spinning stationary 'bicycle wheel' of coloured lights
02/02/2025 16:10,Leckford,Stereotypical UFO that moved above a static plane in the air and vanish in a split second when I glanced for my phone camera
01/31/2025 23:45,Leicester,Felt like time stood still. Appeared to be 3 craft of triangles shaped with blue to red shimmering lights.
01/30/2025 18:00,Maldon,Small white / Blue orb moving sporadically through the sky
01/29/2025 21:36,Wath upon Dearne,I have been seeing them before but now I decided to report on here because it's becoming every night
01/29/2025 00:25,Robertsbridge,Orb sighting acting erratically in night sky in rural village
01/28/2025 19:32,Formby,Pulsating green light moved swiftly in straight lines across the sky before disappearing
01/28/2025 18:24,Macclesfield,"I saw two circular spinning silver discs above Ryles Park Road, Macclesfield"
01/25/2025 22:20,Milnrow,"Higher up than a plane, at least 15 times faster… 8kmph no sonic boom"
01/25/2025 22:20,Milnrow,"Very high speed, intelligent slow turn, high altitude"
01/23/2025 19:10,Wokingham,UFO or portal that emitted UFOs
01/22/2025 22:15,Folkestone,We saw a triangular shaped object maybe 20 metres long doing a circular pattern over the school for around a minute and a half.
01/21/2025 23:01,,Orb flashing green white light
01/21/2025 05:30,Lichfield,"Driving, see visibly a diamond/kite shape moving throughout the sky very close to the road"
01/17/2025 17:21,Welling,Huge bridge yellow gold circular object. Dissolved into the atmosphere
01/14/2025 03:15,London,It felt as if we got taken
01/13/2025 14:47,London,I had just left my house to run to the shop for a drink and saw something floating
01/12/2025 12:14,Welwyn Garden City,The craft was donut shaped and oscillating at high speed.
01/09/2025 04:00,Elderslie,Seen a massive dark triangle craft with circular shapes near each corner with rectangular shape below the top circle
01/08/2025 23:40,Eccles,Fast moving bright white object
01/07/2025 21:08,Uxbridge,
01/07/2025 08:45,Penzance,Orange moving orb that moved to the left and over a white orb
01/06/2025 21:50,London,"I was driving home and I thought I saw an airplane with green lights but it didn’t seem to move, when I got home was still stationary."
01/06/2025 19:00,Carmarthen,Orbs followed by military jets
01/06/2025 18:42,Meinciau,Fighter jets chasing a green space ship and pink orb
01/06/2025 07:05,Catrine,"Same as the sightings currently happening in America, low flying ""drone"" with unusual light pattern hovering in the same spot."
